#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,,
Message,Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
Successfully scheduled Software Protection service for re-start at 2121-02-08T02:48:39Z. Reason: RulesEngine.,16384,0,16384,4,0,0,3.60E+16,3706,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 18:48,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Offline downlevel migration succeeded.,16394,0,49152,4,0,0,3.60E+16,3705,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 18:48,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Successfully scheduled Software Protection service for re-start at 2121-02-08T02:07:05Z. Reason: RulesEngine.,16384,0,16384,4,0,0,3.60E+16,3704,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 18:07,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Offline downlevel migration succeeded.,16394,0,49152,4,0,0,3.60E+16,3703,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 18:06,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
The VSS service is shutting down due to idle timeout. ,8224,,0,4,0,,3.60E+16,3702,VSS,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:59,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Successfully scheduled Software Protection service for re-start at 2121-02-08T01:59:00Z. Reason: RulesEngine.,16384,0,16384,4,0,0,3.60E+16,3700,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 17:59,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Subject:   Security ID:  XXXX SID   Account Name:  strangelove   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  strangelove2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject:   Security ID:  XXXX SID   Account Name:  user1   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  user1   Account Domain: Failure Information:   Failure Reason:  Unknown user name or bad password. Status:   0xc000006d Sub Status:  0xc000015b Process Information:,4625,,0,4,0,,3.60E+16,3698,SecurityCenter,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:58,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Subject:   Security ID:  XXXX SID   Account Name:  rootkit   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  rootkit   Account Domain: Failure Information:   Failure Reason:  Unknown user name or bad password. Status:   0xc000006d Sub Status:  0xc000015b Process Information:,4625,,0,4,0,,3.60E+16,3697,SecurityCenter,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:58,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Subject:   Security ID:  XXXX SID   Account Name:  user1   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  user1   Account Domain: Failure Information:   Failure Reason:  Unknown user name or bad password. Status:   0xc000006d Sub Status:  0xc000015b Process Information:,4625,,0,4,0,,3.60E+16,3696,gupdate,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:58,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
